id,valence,arousal,dominance
VIDEO_6834420537545084166,0.43678420782089233,0.7005442380905151,0.6212023496627808
VIDEO_7184831364422814981,0.6863167881965637,0.5676639676094055,0.562843382358551
VIDEO_7159621444312288517,0.6181176900863647,0.5421521067619324,0.4915536046028137
VIDEO_7070486062182731013,0.538267195224762,0.6504615545272827,0.5494071245193481
VIDEO_7309113734360780064,0.6045653820037842,0.6470546722412109,0.5749194622039795
VIDEO_6885735124013550850,0.5130146145820618,0.4889778792858124,0.4344409704208374
VIDEO_7285669773030001953,0.42288535833358765,0.3587109446525574,0.2817404568195343
VIDEO_7214886818368490758,0.7525003552436829,0.8682955503463745,0.8040271401405334
VIDEO_7323224822169750816,0.3384421765804291,0.48175370693206787,0.4174809455871582
VIDEO_7191515883330669830,0.528864324092865,0.5885111689567566,0.5451379418373108
VIDEO_6825975879940820230,0.8118131160736084,0.8971889019012451,0.8272113800048828
VIDEO_7209259784263060742,0.49600866436958313,0.741191029548645,0.6792553067207336
VIDEO_7262728753778822433,0.7861369252204895,0.8250956535339355,0.7592441439628601
VIDEO_7050156581652106502,0.7721229791641235,0.8924126625061035,0.8134922385215759
VIDEO_6894530886105042178,0.7813018560409546,0.7819110155105591,0.686580240726471
VIDEO_6885984385670122753,0.46790724992752075,0.28164345026016235,0.25409090518951416
VIDEO_7457876496447819030,0.4884253144264221,0.5999045372009277,0.5855177640914917
VIDEO_7078216427131473157,0.7116154432296753,0.7648053169250488,0.6982940435409546
VIDEO_7265242959048723745,0.20922082662582397,0.826673150062561,0.7372398376464844
VIDEO_7297256040544931105,0.27545833587646484,0.4386448264122009,0.3622707724571228
VIDEO_7225641498249891099,0.8156718611717224,0.675007164478302,0.6450522541999817
VIDEO_7208590550348434694,0.8009639382362366,0.7102585434913635,0.675434947013855
VIDEO_7200418269629582597,0.5170632600784302,0.749346137046814,0.6967900395393372
VIDEO_7157021341361753349,0.17150487005710602,0.4162333309650421,0.37715116143226624
VIDEO_7185555796443270405,0.42183801531791687,0.6332837343215942,0.6026774644851685
VIDEO_7224177146263063835,0.4050883948802948,0.579435408115387,0.5435813069343567
VIDEO_7260420548553887002,0.479481965303421,0.7872554063796997,0.6761177182197571
VIDEO_7189927984172666118,0.804015040397644,0.7164552807807922,0.6755315065383911
VIDEO_7265677943228075296,0.5286678075790405,0.8760532140731812,0.8019065856933594
VIDEO_6923258085528112390,0.37362679839134216,0.7516429424285889,0.745598554611206
VIDEO_6750983141873224966,0.6610143184661865,0.7446606159210205,0.6685804128646851
VIDEO_7185200340310969605,0.41196560859680176,0.45549479126930237,0.43246275186538696
VIDEO_7221550036172213509,0.8362664580345154,0.8244326114654541,0.7878618240356445
VIDEO_6860766213992090886,0.8516175746917725,0.8853082656860352,0.8532199859619141
VIDEO_7195607365813636357,0.7275887131690979,0.7733562588691711,0.7186297178268433
VIDEO_7197448084119506182,0.8537182211875916,0.9056175947189331,0.8430981040000916
VIDEO_7194501630111272197,0.630112886428833,0.9587244987487793,0.8646801710128784
VIDEO_7161523791154236677,0.538886308670044,0.6313914656639099,0.5826988816261292
VIDEO_7125392158063955205,0.2886817753314972,0.6537977457046509,0.625179648399353
VIDEO_7263460179461688609,0.5761554837226868,0.6129469871520996,0.5525542497634888
VIDEO_7306460792310877472,0.37614402174949646,0.8148179054260254,0.7265592813491821
VIDEO_7264519435086466336,0.2251649796962738,0.24341407418251038,0.2646218538284302
VIDEO_7262363967157226785,0.5412967801094055,0.5220947265625,0.4279248118400574
VIDEO_6764678537346616582,0.5295249819755554,0.4364810287952423,0.4570956230163574
VIDEO_6875610422578351362,0.6000728011131287,0.5779563188552856,0.4775277376174927
VIDEO_6878219367390268673,0.35847923159599304,0.23702247440814972,0.3138914704322815
VIDEO_6913929490305420545,0.2841784954071045,0.6648248434066772,0.58742356300354
VIDEO_6875699019520298242,0.5876308679580688,0.7805271148681641,0.6860353350639343
VIDEO_7210067304095173893,0.5129479765892029,0.7782620191574097,0.7502424120903015
VIDEO_7299132149167361312,0.5519834756851196,0.6679129600524902,0.5849432349205017
VIDEO_7261965250864467232,0.6740076541900635,0.7820035815238953,0.7282776832580566
VIDEO_7208220006314773765,0.33833420276641846,0.8788743019104004,0.8015581965446472
VIDEO_7192254185969044742,0.4278416335582733,0.520402193069458,0.41456347703933716
VIDEO_6886076315288554754,0.43477901816368103,0.7646358013153076,0.6877334713935852
VIDEO_6880117942432959746,0.5352708697319031,0.9941381216049194,0.8985189199447632
VIDEO_7551820830615899414,0.45471563935279846,0.7486215829849243,0.6751863360404968
VIDEO_7306870694137187616,0.4186609089374542,0.8029084801673889,0.7082240581512451
VIDEO_6915045654997912833,0.5819299817085266,0.7260783910751343,0.6507904529571533
VIDEO_7184457014217657606,0.5531727075576782,0.5919216275215149,0.6070350408554077
VIDEO_7113472331917298949,0.339495986700058,0.7601139545440674,0.657933235168457
VIDEO_7272402191233584417,0.49206414818763733,0.7788021564483643,0.7298750281333923
VIDEO_6927547229486058757,0.4969950020313263,0.8844259977340698,0.7782188653945923
VIDEO_7305781724238105889,0.24094422161579132,0.9193140864372253,0.8475670218467712
VIDEO_7213794863630912773,0.612615168094635,0.5546958446502686,0.5303717851638794
VIDEO_7204870147855748357,0.6400782465934753,0.8028255701065063,0.7696237564086914
VIDEO_7193751547749223685,0.7216019630432129,0.9098689556121826,0.8342389464378357
VIDEO_7130169267454070021,0.7080649137496948,0.9503203630447388,0.8826653957366943
VIDEO_7174022295978003717,0.4493626058101654,0.7400022149085999,0.7380675077438354
VIDEO_7330293520395275553,0.5349905490875244,0.5952532291412354,0.5620430111885071
VIDEO_7279078872455384352,0.6954724788665771,0.8447024822235107,0.7956018447875977
VIDEO_7223410372462611738,0.5462300777435303,0.7526711225509644,0.6627265810966492
VIDEO_7299777182828645664,0.6054421663284302,0.816143274307251,0.7497413158416748
VIDEO_7225245362678762779,0.4965832829475403,0.7408204674720764,0.6824129819869995
VIDEO_6880792115329142018,0.7603956460952759,0.6889771223068237,0.6758918762207031
VIDEO_6896455617523813633,0.5061374306678772,0.46365606784820557,0.415731817483902
VIDEO_6768860777525824773,0.32651275396347046,0.40341848134994507,0.3426377773284912
VIDEO_7307663369090207009,0.4445270001888275,0.8335558176040649,0.7550597190856934
VIDEO_7197086542479854854,0.4143275320529938,0.5251098275184631,0.5135006308555603
VIDEO_6739804771013774597,0.43753185868263245,0.7527326941490173,0.728002667427063
VIDEO_7200112331873897733,0.4410311281681061,0.8047146797180176,0.7584747076034546
VIDEO_6930236006654364934,0.6962387561798096,0.7920929789543152,0.723859429359436
VIDEO_6879407335484214530,0.30094435811042786,0.8082549571990967,0.711956262588501
VIDEO_7159544328061275397,0.3818439841270447,0.5465731024742126,0.46178102493286133
VIDEO_7478417820376812822,0.4588911533355713,0.5069913864135742,0.4153861403465271
VIDEO_7064507087086161157,0.7759541273117065,0.8251697421073914,0.7520462870597839
VIDEO_7324421973612825889,0.6086294651031494,0.7349809408187866,0.7002636194229126
VIDEO_7579293926796922134,0.1746205985546112,0.26715540885925293,0.24990160763263702
VIDEO_7214113271018753285,0.3910609781742096,0.728873610496521,0.7196788787841797
VIDEO_7475816575975623958,0.5250169038772583,0.47865697741508484,0.41406697034835815
VIDEO_7167309818519227653,0.8208367824554443,0.81165611743927,0.7271933555603027
VIDEO_7296417264591441185,0.32757964730262756,0.6991816163063049,0.6343901753425598
VIDEO_7481977420220779798,0.3284842073917389,0.4679076075553894,0.4797666668891907
VIDEO_7270891504346942753,0.6469616889953613,0.6467233896255493,0.6009604930877686
VIDEO_6958424996964355334,0.6847372055053711,0.8838670253753662,0.7830254435539246
VIDEO_7414059508630031648,0.2886335551738739,0.8712371587753296,0.7635805606842041
VIDEO_7161744414979771653,0.5349488854408264,0.7132210731506348,0.5890178084373474
VIDEO_7073916316566031622,0.5105942487716675,0.5510552525520325,0.5483299493789673
VIDEO_7254929536557567259,0.4657415449619293,0.7007764577865601,0.6646597981452942
VIDEO_7246825881904139546,0.0875125527381897,1.0457186698913574,0.9901771545410156
VIDEO_6876369843591941377,0.489909827709198,0.4022960662841797,0.34868085384368896
VIDEO_6923976137928445190,0.5091713070869446,0.2880934476852417,0.33536168932914734
VIDEO_7123931386964184326,0.4367159903049469,0.6151437759399414,0.5214084386825562
VIDEO_6883389583271185666,0.5685545206069946,0.6023740172386169,0.5136348009109497
VIDEO_6936835146301672709,0.561588704586029,0.6828112602233887,0.6137635707855225
VIDEO_7065372841423801605,0.692441463470459,0.91966313123703,0.8368520140647888
VIDEO_7214862934139260166,0.335112601518631,0.5578128099441528,0.502616286277771
VIDEO_7255981234374069530,0.3338785469532013,0.5364195704460144,0.5430420637130737
VIDEO_7325106846744743200,0.5022796988487244,0.8392961025238037,0.7554539442062378
VIDEO_6883876793380572417,0.6696844696998596,0.9587122201919556,0.8493567109107971
