id,filepath,split,max_spike,avg_volatility,max_motion_spike,avg_overall_motion
7602656035161050390,data/videos_mp4/USER_davosklosters/VIDEO_7602656035161050390.mp4,train,6.204137731481481,4.442986059441138,132.394,5.629
7590718903144287510,data/videos_mp4/USER_davosklosters/VIDEO_7590718903144287510.mp4,train,69.81679506655092,6.330782312925171,192.246,3.378
7571821778746592534,data/videos_mp4/USER_davosklosters/VIDEO_7571821778746592534.mp4,train,29.08271846064815,2.7009111261692182,2.309,1.078
7569927329154190614,data/videos_mp4/USER_davosklosters/VIDEO_7569927329154190614.mp4,train,1.2861147280092593,0.9038642909420717,2.314,1.03
7566270741134462230,data/videos_mp4/USER_davosklosters/VIDEO_7566270741134462230.mp4,train,17.08638057002315,15.65668004305948,2.314,1.087
7536170254989315350,data/videos_mp4/USER_davosklosters/VIDEO_7536170254989315350.mp4,train,17.00238715277778,10.341020077735958,65.242,1.911
7520640970199698710,data/videos_mp4/USER_davosklosters/VIDEO_7520640970199698710.mp4,train,0.12053313078703703,0.010544637427416823,90.322,1.807
7496799936558796054,data/videos_mp4/USER_davosklosters/VIDEO_7496799936558796054.mp4,train,62.09632703993055,4.345295920017314,88.461,2.593
7487960173529582870,data/videos_mp4/USER_davosklosters/VIDEO_7487960173529582870.mp4,train,30.225206163194443,17.116051759859804,84.002,1.939
7478712216724802838,data/videos_mp4/USER_davosklosters/VIDEO_7478712216724802838.mp4,train,7.671260127314816,5.176324012677989,84.007,6.072
7470850262840691990,data/videos_mp4/USER_davosklosters/VIDEO_7470850262840691990.mp4,train,5.123978226273149,2.8081399062376873,206.317,4.52
7424512450856357153,data/videos_mp4/USER_davosklosters/VIDEO_7424512450856357153.mp4,train,5.254638671875,4.248114968643707,112.652,1.938
7416286728513735968,data/videos_mp4/USER_davosklosters/VIDEO_7416286728513735968.mp4,train,9.142198350694445,5.599665467572974,112.652,2.006
7374727208394411297,data/videos_mp4/USER_davosklosters/VIDEO_7374727208394411297.mp4,train,62.49372468171296,6.057618294713718,221.695,6.072
7361057454454508833,data/videos_mp4/USER_davosklosters/VIDEO_7361057454454508833.mp4,train,1.4050021701388886,0.8372280889536252,221.695,7.021
7343975400122354977,data/videos_mp4/USER_davosklosters/VIDEO_7343975400122354977.mp4,train,0.6992910879629631,0.552751167741402,209.439,8.446
7322847358646078752,data/videos_mp4/USER_davosklosters/VIDEO_7322847358646078752.mp4,train,15.812391493055557,5.041281725363756,119.369,4.438
7311689753676533024,data/videos_mp4/USER_davosklosters/VIDEO_7311689753676533024.mp4,train,3.950864438657407,3.1172797460998294,119.369,8.356
7307595143559859488,data/videos_mp4/USER_davosklosters/VIDEO_7307595143559859488.mp4,train,14.005497685185185,9.34253385599031,22.177,0.479
7298756408994991393,data/videos_mp4/USER_davosklosters/VIDEO_7298756408994991393.mp4,train,6.477982132523148,2.1798631341219394,22.177,0.721
7272755309658098976,data/videos_mp4/USER_davosklosters/VIDEO_7272755309658098976.mp4,train,3.3561197916666665,2.1724785315638737,104.988,2.414
7226766521719213338,data/videos_mp4/USER_davosklosters/VIDEO_7226766521719213338.mp4,train,9.658763744212962,5.300346668615362,138.732,2.383
7224139299594194203,data/videos_mp4/USER_davosklosters/VIDEO_7224139299594194203.mp4,train,2.2986472800925926,1.9992786502621889,138.732,2.418
7208566584535764250,data/videos_mp4/USER_davosklosters/VIDEO_7208566584535764250.mp4,train,12.879602502893519,9.881584230914585,250.554,8.654
7205976379370851589,data/videos_mp4/USER_davosklosters/VIDEO_7205976379370851589.mp4,train,24.183666087962962,21.5960375361082,250.554,12.132
7177404002508803334,data/videos_mp4/USER_davosklosters/VIDEO_7177404002508803334.mp4,train,6.232132523148148,3.8395179252256457,115.356,16.726
7164792237543394566,data/videos_mp4/USER_davosklosters/VIDEO_7164792237543394566.mp4,train,15.08836082175926,8.994549729614063,115.356,37.615
7162183685423385862,data/videos_mp4/USER_davosklosters/VIDEO_7162183685423385862.mp4,train,1.814453125,1.152388961226852,115.356,41.458
7153997940774882565,data/videos_mp4/USER_davosklosters/VIDEO_7153997940774882565.mp4,train,5.80274341724537,4.346433332447563,126.628,4.075
7143619564775968006,data/videos_mp4/USER_davosklosters/VIDEO_7143619564775968006.mp4,train,18.571135344328706,9.33274911232737,126.629,4.912
7138043316087606533,data/videos_mp4/USER_davosklosters/VIDEO_7138043316087606533.mp4,train,3.21142578125,1.7514637709412275,126.629,5.768
7114705253899029765,data/videos_mp4/USER_davosklosters/VIDEO_7114705253899029765.mp4,train,63.72596571180555,10.51223139933498,126.697,8.014
7107270367303044358,data/videos_mp4/USER_davosklosters/VIDEO_7107270367303044358.mp4,train,63.84394892939815,7.130962161340233,130.811,3.516
7101685930276293894,data/videos_mp4/USER_davosklosters/VIDEO_7101685930276293894.mp4,train,10.071506076388888,4.88591782162194,130.811,3.796
7096121724990655749,data/videos_mp4/USER_davosklosters/VIDEO_7096121724990655749.mp4,train,11.717185691550926,9.999765974429144,130.811,4.351
7079814734664436998,data/videos_mp4/USER_davosklosters/VIDEO_7079814734664436998.mp4,train,2.9238823784722228,1.2719985672220282,101.582,2.488
7071272731286834437,data/videos_mp4/USER_davosklosters/VIDEO_7071272731286834437.mp4,train,9.702302155671296,3.288322721721987,101.582,4.326
7067569943449046278,data/videos_mp4/USER_davosklosters/VIDEO_7067569943449046278.mp4,train,17.619782624421294,1.6385774678279974,89.481,1.661
7063121025394855173,data/videos_mp4/USER_davosklosters/VIDEO_7063121025394855173.mp4,train,6.6038682725694455,3.885532376755729,101.0,2.345
7023313220278553862,data/videos_mp4/USER_davosklosters/VIDEO_7023313220278553862.mp4,train,8.04884620949074,6.302859433851224,130.23,13.542
7019559155425955077,data/videos_mp4/USER_davosklosters/VIDEO_7019559155425955077.mp4,train,16.915861906828706,8.098799263629063,130.23,14.643
6958797242429934854,data/videos_mp4/USER_davosklosters/VIDEO_6958797242429934854.mp4,train,11.69923683449074,6.471082439530368,109.378,6.906
